"ERROR_INVALID_INPUT","Certificate file and password are required"
"ERROR_INVALID_UNKNOWN","Certificate cannot be validated. Please try again"
"ERROR_INVALID_CERTIFICATE_FORMAT","Invalid certificate format"
"ERROR_INVALID_PASSPHRASE","Invalid certificate password"
"ERROR_INVALID_ISSUER_COUNTRY","Invalid issuer country"
"ERROR_INVALID_ISSUER_ORGANIZATION","Invalid issuer organization"
"ERROR_INVALID_EXPIRY_DATE","Invalid expiry date"
"ERROR_CERTIFICATE_EXPIRED","Certificate expired"
"ERROR_CERTIFICATE_NOT_YET_VALID","Certificate is not yet valid"

Details,Details
History,History
TWINT,TWINT
"Switch to TWINT app now","Switch to TWINT app now"
"Select your TWINT app:","Select your TWINT app:"
"Other banks","Other banks"
or,or
"Enter this code in your TWINT app:","Enter this code in your TWINT app:"
"Certificate validation successful","Certificate validation successful"
"Something went wrong while processing the data.","Something went wrong while processing the data."
"Invalid credentials. Please check again: Merchant ID, certificate and environment (mode)","Invalid credentials. Please check again: Merchant ID, certificate and environment (mode)"
"Pairing #%1 not found","Pairing #%1 not found"
"Order #%1 - Transaction #%2","Order #%1 - Transaction #%2"
"Request Log #%1","Request Log #%1"
"Dont have needed order to pay","Dont have needed order to pay"
"This order did not provided by TWINT","This order did not provided by TWINT"
"This order did not processed by TWINT","This order did not processed by TWINT"
"Order not found","Order not found"
"Chose File","Chose File"
"Only .p12 files are allowed.","Only .p12 files are allowed."
"Password is required for all TWINT certificates.","Password is required for all TWINT certificates."
"Certificate are loaded and encrypted successfully,","Certificate are loaded and encrypted successfully,"
"upload a new","upload a new"
"Unable to handle payment","Unable to handle payment"
"Cannot get Pairing record to refund","Cannot get Pairing record to refund"
"Requested item doesn't exist","Requested item doesn't exist"
"Database connection error","Database connection error"
"Unable to save item","Unable to save item"
"Product details page","Product details page"
"Product listing page","Product listing page"
"Cart page","Cart page"
"Cart flyout","Cart flyout"
"'Cannot create invoice: ' .","'Cannot create invoice: ' ."
"Captured amount of CHF %1, Transaction ID %2","Captured amount of CHF %1, Transaction ID %2"
"'Unable to cancel Checkout' .","'Unable to cancel Checkout' ."
"Cannot get pairing status","Cannot get pairing status"
"Refund amount has to greater than 0","Refund amount has to greater than 0"
"Refund amount is exceed the transaction amount","Refund amount is exceed the transaction amount"
"Custom Information for new tab","Custom Information for new tab"
"Refund history","Refund history"
"Transaction history","Transaction history"
"API method","API method"
Request,Request
Response,Response
"Copy code","Copy code"
"Open your bank's TWINT app on your smartphone.","Open your bank's TWINT app on your smartphone."
"Scan this QR Code with your TWINT app to complete the checkout.","Scan this QR Code with your TWINT app to complete the checkout."
"Select a shipping address and complete the purchase in the app.","Select a shipping address and complete the purchase in the app."
"TWINT Checkout","TWINT Checkout"
"Place Order","Place Order"
"Use Default","Use Default"
"Invalid Merchant ID. Merchant ID needs to be a UUIDv4","Invalid Merchant ID. Merchant ID needs to be a UUIDv4"
"Validating credentials","Validating credentials"
Saving...,Saving...
Copied!,Copied!
"Cancel checkout","Cancel checkout"
"Payment method offered by TWINT","Payment method offered by TWINT"
Configuration,Configuration
Credentials,Credentials
"Regular Checkout","Regular Checkout"
"Express Checkout","Express Checkout"
Merchant-ID,Merchant-ID
"Switch to test environment","Switch to test environment"
Certificate,Certificate
twint,twint
"TWINT Regular Checkout","TWINT Regular Checkout"
Enabled,Enabled
"Sort Order","Sort Order"
"TWINT Express Checkout","TWINT Express Checkout"
"Display screens","Display screens"
"Users can see TWINT checkout buttons","Users can see TWINT checkout buttons"
"TWINT express","TWINT express"
"History ID","History ID"
Order,Order
Store,Store
Amount,Amount
Status,Status
"Pairing Status","Pairing Status"
"Transaction Status","Transaction Status"
"Transaction Date","Transaction Date"
"Refund ID","Refund ID"
Pairing,Pairing
"Reversal ID","Reversal ID"
"Refunded By","Refunded By"
"Refund Date","Refund Date"
ID,ID
"Amount (CHF)","Amount (CHF)"
"Amount","Amount"
