"ERROR_INVALID_INPUT","Le fichier de certificat et le mot de passe sont requis"
"ERROR_INVALID_UNKNOWN","Le certificat ne peut pas être validé. Veuillez réessayer"
"ERROR_INVALID_CERTIFICATE_FORMAT","Format du certificat invalide"
"ERROR_INVALID_PASSPHRASE","Mot de passe invalide"
"ERROR_INVALID_ISSUER_COUNTRY","Pays émetteur invalide"
"ERROR_INVALID_ISSUER_ORGANIZATION","Organisation émettrice invalide"
"ERROR_INVALID_EXPIRY_DATE","Date d’expiration invalide"
"ERROR_CERTIFICATE_EXPIRED","Certificat expiré"
"ERROR_CERTIFICATE_NOT_YET_VALID","Le certificat n’est pas encore valide"
"View","Voir"
"TWINT","TWINT"
"Switch to TWINT app now","Passa all’app TWINT"
"Choose your TWINT app","Scegli la tua app TWINT"
"Other banks","Altre banche"
"or","oppure"
"Enter this code in your TWINT app:","Inserisci questo codice nella tua app TWINT:"
"Certificate validation successful","Convalida certificato andata a buon fine"
"Something went wrong while processing the data.","Une erreur est survenue lors du traitement des données."
"Invalid credentials. Please check again: Store UUID, certificate and environment (mode)","Invalid credentials. Please check again: Store UUID, certificate and environment (mode)"
"Request Log","Journal des demandes"
"Choose file","Choisir un fichier"
"Only .p12 files are allowed","Seuls les fichiers .p12 sont autorisés"
"Certificate password is required","Le mot de passe du certificat est requis"
"Certificate encrypted and stored","Certificat crypté et enregistré"
"Upload new certificate","Télécharger un nouveau certificat"
"Production","Production"
"Test","Test"
"Product detail page","Page de détail des produits"
"Product listing page","Page de liste des produits"
"Cart page","Page du panier"
"Cart flyout","Affichage du panier"
"Captured amount of CHF %1, Transaction ID %2","Montant capturé de CHF %1, ID de transaction %2"
"Amount to refund should be greater than 0","Le montant à rembourser doit être supérieur à 0"
"Total amount should not exceed the maximum refundable amount","Le montant total ne doit pas dépasser le montant maximal remboursable"
"Transaction logs","Journal des transactions"
"API method","Méthode API"
"Request","Demande"
"Response","Réponse"
"Express Checkout","Express Checkout"
"Copy code","Copiez le code"
"Scan this QR Code with your TWINT app to complete the checkout.","Scannez ce code QR avec votre app TWINT pour terminer le paiement."
"Select a shipping address and complete the purchase in the app.","Sélectionnez une adresse de livraison et terminez l’achat dans l’app."
"Follow the instructions in the app to confirm your order.","Suivez les instructions dans l'application pour confirmer votre commande."
"TWINT Checkout","TWINT Checkout"
"Invalid Store UUID. Store UUID needs to be a UUIDv4","UUID de votre commerce invalide. L’UUID de votre commerce doit être un UUIDv4"
"Validating credentials","Validation des identifiants"
"Saving...","Enregistrement..."
"Copied!","Copié !"
"Cancel checkout","Annuler le paiement"
"Payment method offered by TWINT","Méthode de paiement offerte par TWINT"
"Configuration","Configuration"
"Credentials","Identifiants"
"Store UUID","UUID de votre commerce"
"Environment","Environnement"
"Certificate","Certificat"
"TWINT Express Checkout","TWINT Express Checkout"
"Display screens","Écrans d’affichage"
"Where users see the TWINT Express Checkout button","Où les utilisateurs voient le bouton TWINT Express Checkout"
"Order","Commande"
"Store","Magasin"
"Amount","Montant"
"Status","Statut"
"Pairing Status","Statut de jumelage"
"Transaction Status","Statut de la transaction"
"Transaction Date","Date de la transaction"
"Actions","Actions"
"Reversal ID","ID d'annulation"
"Pairing ID","ID de jumelage"
"Refunded by","Remboursé par"
"Refund Date","Date de remboursement"
"ID","ID"
"Token","Jeton"
"TWINT Configuration","Configuration TWINT"
"TWINT statuses","Statuts TWINT"
"Shipping Method","Méthode d'expédition"
"Customer Data","Données client"
"History ID","ID d'historique"
